09-07-2020 16:39:46,	 0,	 0,	 0.0,	 9,	 9,	 9.0	 
09-07-2020 16:39:46,	 0,	 0,	 2.220446049250313e-16,	 9,	 9,	 9.0	 
09-07-2020 16:39:46,	 0,	 0,	 2.7755575615628914e-17,	 9,	 9,	 9.0	 
09-07-2020 16:39:46,	 0,	 0,	 -6.938893903907228e-18,	 8,	 8,	 8.0	 
09-07-2020 16:39:47,	 0,	 0,	 0.0,	 8,	 8,	 8.0	 
09-07-2020 16:39:47,	 0,	 0,	 0.0,	 8,	 8,	 8.0	 
09-07-2020 16:39:47,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:47,	 0,	 0,	 0.0,	 0,	 0,	 4.440892098500626e-16	 
09-07-2020 16:39:48,	 0,	 0,	 0.0,	 0,	 0,	 -1.1102230246251565e-16	 
09-07-2020 16:39:48,	 0,	 0,	 0.0,	 0,	 0,	 -5.551115123125783e-17	 
09-07-2020 16:39:48,	 0,	 0,	 0.0,	 0,	 0,	 6.938893903907228e-18	 
09-07-2020 16:39:48,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:49,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:49,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:49,	 0,	 0,	 0.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:49,	 8,	 8,	 8.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:50,	 9,	 9,	 9.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:50,	 9,	 9,	 8.999999999999998,	 0,	 0,	 0.0	 
09-07-2020 16:39:50,	 9,	 9,	 9.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:50,	 9,	 9,	 8.999999999999998,	 0,	 0,	 0.0	 
09-07-2020 16:39:50,	 9,	 9,	 9.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:51,	 9,	 9,	 9.0,	 0,	 0,	 0.0	 
09-07-2020 16:39:51,	 9,	 9,	 9.0,	 9,	 9,	 9.0	 
09-07-2020 16:39:51,	 9,	 9,	 9.0,	 9,	 9,	 9.0	 
09-07-2020 16:39:51,	 9,	 9,	 9.0,	 9,	 9,	 8.999999999999998	 
09-07-2020 16:39:52,	 9,	 9,	 9.0,	 9,	 9,	 9.0	 
09-07-2020 16:39:52,	 9,	 9,	 9.0,	 9,	 9,	 9.0	 
09-07-2020 16:39:52,	 9,	 9,	 9.0,	 9,	 9,	 9.0	 
09-07-2020 16:39:52,	 9,	 9,	 9.0,	 9,	 9,	 9.0	 
