40943,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.07,	 -0.12,	 -0.064,	 8.562,	 -0.036,	 0.318,	 -0.212,	 -0.246	 
40943,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.036,	 0.131,	 -0.051,	 8.433,	 -0.053,	 0.19,	 0.398,	 -0.104	 
41542,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.058,	 0.0,	 -0.548,	 8.497,	 -0.149,	 0.0,	 2.147,	 0.557	 
41542,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.074,	 0.21,	 -0.296,	 7.94,	 0.154,	 -0.537,	 1.503,	 2.876	 
41542,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.073,	 -0.057,	 -0.113,	 7.759,	 -0.053,	 0.016,	 0.878,	 4.171	 
41542,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.075,	 0.206,	 0.066,	 7.668,	 0.044,	 -0.175,	 0.687,	 5.155	 
41542,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.018,	 -0.065,	 0.235,	 7.915,	 0.005,	 -0.017,	 0.456,	 5.803	 
42133,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.036,	 0.0,	 0.3,	 8.135,	 -0.146,	 0.0,	 1.041,	 6.334	 
42133,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.036,	 -0.128,	 0.146,	 8.433,	 0.182,	 -0.525,	 0.411,	 7.332	 
42133,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.005,	 0.0,	 -0.008,	 8.484,	 -0.042,	 0.13,	 -0.063,	 7.383	 
42133,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.012,	 0.02,	 0.016,	 8.484,	 0.007,	 -0.02,	 0.068,	 7.422	 
42133,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.007,	 -0.025,	 0.009,	 8.51,	 -0.001,	 0.005,	 0.05,	 7.487	 
42731,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.019,	 0.0,	 0.125,	 8.497,	 -0.012,	 0.0,	 0.212,	 7.552	 
42731,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.021,	 -0.069,	 0.042,	 8.614,	 0.017,	 -0.045,	 0.159,	 7.785	 
42731,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.01,	 0.007,	 -0.033,	 8.601,	 -0.011,	 0.017,	 0.125,	 7.94	 
42732,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.029,	 0.041,	 0.025,	 8.588,	 0.012,	 -0.022,	 0.118,	 8.096	 
42732,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.018,	 -0.064,	 -0.003,	 8.627,	 -0.005,	 0.019,	 0.114,	 8.225	 
43345,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.005,	 -0.0,	 -0.004,	 8.562,	 -0.036,	 -0.0,	 0.182,	 8.381	 
43346,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.008,	 -0.017,	 -0.024,	 8.549,	 0.032,	 -0.131,	 0.024,	 8.536	 
43346,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.005,	 0.013,	 -0.029,	 8.51,	 -0.011,	 -0.014,	 -0.15,	 8.433	 
43346,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.006,	 -0.007,	 -0.022,	 8.484,	 0.019,	 -0.054,	 -0.232,	 8.212	 
43346,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.004,	 0.015,	 -0.012,	 8.459,	 -0.004,	 0.013,	 -0.281,	 7.889	 
43951,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.0,	 0.0,	 0.001,	 8.459,	 0.044,	 -0.0,	 -0.453,	 7.565	 
43951,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 -0.005,	 -0.002,	 -0.001,	 8.459,	 -0.05,	 0.16,	 -0.261,	 7.098	 
43951,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.0,	 0.014,	 -0.021,	 -0.028,	 8.446,	 -0.003,	 -0.019,	 -0.092,	 6.93	 
